Index,Company,Product,TypeName,Inches,OpSys,Price_euros,SSD_Memory_GB,HDD_Memory_GB,Weight_kg,Ram_GB,ScreenResolution_px,Cpu_Type,Cpu_Frequency_GHz,Gpu_Type
205,Lenovo,V110-15ISK (i5-6200U/4GB/128GB/W10),Notebook,15.6,Windows 10,493.0,128,0,2.1,4,1366x768,Intel Core,2.3,Intel HD
206,Acer,Aspire E5-576G,Notebook,15.6,Windows 10,742.0,0,1024.0,2.23,8,1920x1080,Intel Core,2.7,Nvidia GeForce
207,Lenovo,Legion Y720-15IKB,Gaming,15.6,Windows 10,1749.0,512,1024.0,3.2,16,1920x1080,Intel Core,2.8,Nvidia GeForce
208,Dell,Precision 7520,Workstation,15.6,Windows 10,3055.0,256,1024.0,2.8,16,3840x2160,Intel Xeon,3,Nvidia Quadro
209,Lenovo,Legion Y520-15IKBN,Gaming,15.6,No OS,1398.0,512,0,2.4,16,1920x1080,Intel Core,2.8,Nvidia GeForce
210,Dell,Inspiron 3567,Notebook,15.6,Windows 10,439.0,0,1024.0,2.3,6,1366x768,Intel Core,2.4,Intel HD
211,Dell,XPS 13,Ultrabook,13.3,Windows 10,1949.0,256,0,1.21,8,3840x2160,Intel Core,1.8,Intel UHD
212,Dell,XPS 13,Ultrabook,13.3,Windows 10,1449.0,256,0,1.2,8,1920x1080,Intel Core,1.8,Intel UHD
213,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Windows 10,597.0,256,0,2.2,8,1366x768,Intel Core,2.5,Intel HD
215,Acer,Aspire 7,Notebook,15.6,Linux,779.0,0,1024.0,2.4,8,1920x1080,Intel Core,2.8,Nvidia GeForce
216,Asus,ROG GL703VD-GC028T,Gaming,17.3,Windows 10,1407.0,256,1024.0,2.9,16,1920x1080,Intel Core,2.8,Nvidia GeForce
217,HP,15-bs018nq (i3-6006U/4GB/500GB/FHD/No,Notebook,15.6,No OS,349.0,0,500,2.1,4,1920x1080,Intel Core,2,Intel HD
218,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,No OS,549.0,256,0,2.2,8,1920x1080,Intel Core,2.5,Intel HD
219,Huawei,MateBook X,Ultrabook,13.0,Windows 10,1499.0,512,0,1.05,8,2160x1440,Intel Core,2.7,Intel HD
220,Dell,Inspiron 5370,Ultrabook,13.3,Windows 10,931.88,256,0,1.4,8,1920x1080,Intel Core,1.8,AMD Radeon
221,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,No OS,589.0,0,1024.0,2.8,8,1600x900,Intel Core,2.5,Nvidia GeForce
222,HP,Probook 440,Notebook,14.0,Windows 10,1031.0,256,0,1.63,8,1920x1080,Intel Core,1.8,Nvidia GeForce
223,Dell,Latitude 5490,Ultrabook,14.0,Windows 10,1149.0,256,0,1.6,8,1920x1080,Intel Core,1.6,Intel UHD
224,Dell,Inspiron 5379,2 in 1 Convertible,13.3,Windows 10,1279.0,512,0,1.62,16,1920x1080,Intel Core,1.8,Intel UHD
225,Dell,Inspiron 3576,Notebook,15.6,Linux,677.35,256,0,2.2,8,1920x1080,Intel Core,1.6,AMD Radeon
226,Lenovo,Yoga 520-14IKB,2 in 1 Convertible,14.0,Windows 10,899.0,256,0,1.74,8,1920x1080,Intel Core,1.6,Intel UHD
227,Toshiba,Portege Z30-C-16L,Ultrabook,13.3,Windows 10,1363.0,256,0,1.2,8,1920x1080,Intel Core,2.5,Intel HD
228,HP,ProBook 450,Notebook,15.6,Windows 10,794.0,0,1024.0,2.1,8,1920x1080,Intel Core,1.6,Intel UHD
229,Dell,Alienware 17,Gaming,17.3,Windows 10,2456.34,256,1024.0,4.42,16,1920x1080,Intel Core,2.8,Nvidia GeForce
230,Acer,Aspire E5-576G,Notebook,15.6,Windows 10,832.0,256,0,2.2,8,1920x1080,Intel Core,2.7,Nvidia GeForce
231,Dell,Inspiron 5567,Notebook,15.6,Windows 10,859.01,0,1024.0,2.3,16,1920x1080,Intel Core,2.7,AMD Radeon
232,Asus,Vivobook X541UV-DM1217T,Notebook,15.6,Windows 10,769.0,256,0,2,8,1920x1080,Intel Core,2.5,Nvidia GeForce
233,Asus,K756UX-T4340T (i5-7200U/8GB/500GB,Notebook,17.3,Windows 10,891.0,256,500,2.69,8,1920x1080,Intel Core,2.5,Nvidia GeForce
234,HP,ZBook 15u,Notebook,15.6,Windows 10,1269.0,0,1024.0,1.9,8,1920x1080,Intel Core,2.7,AMD FirePro
235,Asus,Pro P2540UA-XO0198T,Notebook,15.6,Windows 10,398.99,0,1024.0,2.37,4,1366x768,Intel Core,2.4,Intel HD
236,HP,15-rb013nv (E2-9000e/4GB/500GB/W10),Notebook,15.6,Windows 10,330.0,0,500,2.1,4,1366x768,AMD E-Series,1.5,AMD Radeon
237,Lenovo,Legion Y720-15IKB,Gaming,15.6,Windows 10,1499.0,256,1024.0,3.2,16,1920x1080,Intel Core,2.8,Nvidia GeForce
238,Dell,Vostro 5468,Notebook,14.0,Windows 10,859.0,256,0,1.6,8,1920x1080,Intel Core,2.5,Intel HD
239,Acer,Aspire R7,2 in 1 Convertible,13.3,Windows 10,689.0,256,0,1.6,8,1920x1080,Intel Core,2.3,Intel HD
240,Dell,Inspiron 5567,Notebook,15.6,Linux,899.0,256,0,2.36,16,1920x1080,Intel Core,2.7,AMD Radeon
241,Acer,Aspire A315-51,Notebook,15.6,Linux,390.0,0,1024.0,2.1,4,1366x768,Intel Core,2,Intel HD
242,Asus,X555QG-DM242T (A10-9620P/4GB/1TB,Notebook,15.6,Windows 10,575.0,128,1024.0,2.2,4,1920x1080,AMD A10-Series,2.5,AMD Radeon
243,Asus,ROG G703VI-E5062T,Gaming,17.3,Windows 10,3890.0,512,1024.0,4.7,32,1920x1080,Intel Core,2.9,Nvidia GeForce
244,Acer,Nitro AN515-51,Gaming,15.6,Windows 10,846.0,256,0,2.5,8,1920x1080,Intel Core,2.5,Nvidia GeForce
245,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Windows 10,589.0,128,0,2.2,8,1366x768,Intel Core,2,Intel HD
246,Asus,VivoBook Pro,Notebook,17.3,Windows 10,1145.0,128,1024.0,2.1,8,1920x1080,Intel Core,1.8,Nvidia GeForce
247,Asus,F756UX-T4201D (i7-7500U/8GB/128GB,Notebook,17.3,No OS,889.0,128,1024.0,2.69,8,1920x1080,Intel Core,2.7,Nvidia GeForce
248,Dell,Inspiron 5577,Gaming,15.6,Windows 10,879.0,256,0,2.56,8,1920x1080,Intel Core,2.5,Nvidia GeForce
249,Lenovo,Yoga 910-13IKB,2 in 1 Convertible,13.9,Windows 10,1079.0,256,0,1.38,8,1920x1080,Intel Core,2.7,Intel HD
250,Dell,Inspiron 5570,Notebook,15.6,Windows 10,985.0,128,2048.0,2.2,8,1920x1080,Intel Core,1.8,AMD Radeon
251,HP,15-bs015dx (i5-7200U/8GB/1TB/W10),Notebook,15.6,Windows 10,559.0,0,1024.0,2.04,8,1366x768,Intel Core,2.5,Intel HD
252,Asus,Rog G701VIK-BA060T,Gaming,17.3,Windows 10,2999.0,256,0,3.6,16,1920x1080,Intel Core,2.9,Nvidia GeForce
253,HP,ProBook 430,Notebook,13.3,Windows 10,675.0,0,500,1.49,4,1920x1080,Intel Core,1.6,Intel UHD
254,Apple,MacBook Pro,Ultrabook,13.3,macOS,2040.0,512,0,1.37,8,2560x1600,Intel Core,3.1,Intel Iris
255,Dell,Inspiron 5579,2 in 1 Convertible,15.6,Windows 10,819.0,0,1024.0,2.08,8,1920x1080,Intel Core,1.8,Intel UHD
256,Asus,ROG G752VSK-GC493T,Gaming,17.3,Windows 10,1799.0,256,1024.0,4.3,16,1920x1080,Intel Core,2.8,Nvidia GeForce
257,Asus,X505BP-BR019T (A9-9420/4GB/1TB/Radeon,Notebook,15.6,Windows 10,469.0,0,1024.0,1.68,4,1366x768,AMD A9-Series,3,AMD Radeon
258,Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,Windows 10,1849.0,512,0,1.37,8,1920x1080,Intel Core,1.8,Intel UHD
259,Acer,Aspire 5,Notebook,17.3,Windows 10,702.0,256,0,3,4,1920x1080,Intel Core,2.7,Nvidia GeForce
260,Dell,Vostro 5370,Ultrabook,13.3,Windows 10,949.0,256,0,1.41,8,1920x1080,Intel Core,1.6,Intel UHD
261,HP,15-BW094nd (A6-9220/8GB/128GB/W10),Notebook,15.6,Windows 10,445.9,128,0,1.91,8,1366x768,AMD A6-Series,2.5,AMD Radeon
262,HP,Envy 17-U275cl,Notebook,17.3,Windows 10,1059.0,0,1024.0,2.9,16,1920x1080,Intel Core,1.8,Nvidia GeForce
263,MSI,GT73EVR 7RE,Gaming,17.3,Windows 10,2499.0,512,1024.0,4.14,16,1920x1080,Intel Core,2.8,Nvidia GeForce
264,Lenovo,Yoga 720-15IKB,2 in 1 Convertible,15.6,Windows 10,1699.0,512,0,2,8,1920x1080,Intel Core,2.8,Nvidia GeForce
265,Dell,Inspiron 5770,Notebook,17.3,Windows 10,1142.0,128,1024.0,2.8,8,1920x1080,Intel Core,1.8,AMD Radeon
266,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,No OS,444.0,256,0,2.2,4,1920x1080,Intel Core,2,Intel HD
267,HP,ProBook 450,Notebook,15.6,Windows 10,722.0,0,500,2.1,4,1920x1080,Intel Core,1.6,Intel HD
268,Dell,Vostro 3568,Notebook,15.6,Windows 10,657.0,0,1024.0,2.18,4,1920x1080,Intel Core,2.5,Intel HD
269,Dell,Inspiron 3567,Notebook,15.6,Windows 10,565.0,0,1024.0,2.24,8,1920x1080,Intel Core,2.5,AMD Radeon
270,Dell,Inspiron 5579,2 in 1 Convertible,15.6,Windows 10,799.0,256,0,2.67,8,1920x1080,Intel Core,1.6,Intel UHD
271,Asus,ZenBook Flip,2 in 1 Convertible,13.3,Windows 10,1499.0,512,512,1.1,8,1920x1080,Intel Core,1.8,Intel UHD
272,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,No OS,467.0,0,1024.0,2.2,4,1920x1080,Intel Core,2.5,Intel HD
273,HP,Probook 470,Notebook,17.3,Windows 10,1018.0,0,1024.0,2.5,8,1920x1080,Intel Core,1.8,Nvidia GeForce
274,Lenovo,V330-15IKB (i7-8550U/8GB/256GB/FHD/W10),Notebook,15.6,Windows 10,880.0,256,0,2.05,8,1920x1080,Intel Core,1.8,Intel UHD
275,Apple,MacBook Pro,Ultrabook,13.3,macOS,1958.9,512,0,1.37,8,2560x1600,Intel Core,2.9,Intel Iris
276,Asus,Rog Strix,Gaming,17.3,Windows 10,1549.0,256,1024.0,3.2,16,1920x1080,AMD Ryzen,3,AMD Radeon
277,Dell,Inspiron 3576,Notebook,15.6,Linux,735.07,256,0,2.14,8,1920x1080,Intel Core,1.8,AMD Radeon
278,Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,Windows 10,2499.0,512,0,1.36,16,2560x1440,Intel Core,2.6,Intel HD
279,Toshiba,Satellite Pro,Notebook,15.6,Windows 10,812.0,0,500,2.2,8,1366x768,Intel Core,2.5,Nvidia GeForce
280,Dell,Inspiron 5567,Notebook,15.6,Windows 10,713.07,0,1024.0,2.3,12,1366x768,Intel Core,2.7,Intel HD
281,Dell,Inspiron 5770,Notebook,17.3,Linux,1099.0,128,1024.0,2.8,8,1920x1080,Intel Core,1.8,AMD Radeon
282,Acer,Aspire A515-51G,Notebook,15.6,Windows 10,745.0,0,1024.0,2.2,8,1920x1080,Intel Core,1.8,Nvidia GeForce
283,Lenovo,IdeaPad 320-17ISK,Notebook,17.3,Windows 10,489.0,0,1024.0,2.8,4,1600x900,Intel Core,2,Intel HD
284,Lenovo,IdeaPad 320-17IKBR,Notebook,17.3,No OS,849.0,0,2048.0,2.8,8,1920x1080,Intel Core,1.8,Nvidia GeForce
285,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,Windows 10,859.0,128,1024.0,2.8,6,1600x900,Intel Core,2.7,Nvidia GeForce
286,Dell,Inspiron 3567,Notebook,15.6,Linux,428.0,0,1024.0,2.25,4,1920x1080,Intel Core,2.0,AMD Radeon
287,Lenovo,Legion Y520-15IKBN,Gaming,15.6,Windows 10,829.0,256,0,2.5,8,1920x1080,Intel Core,2.5,Nvidia GeForce
288,Lenovo,Ideapad 320-15IKBN,Notebook,15.6,Windows 10,579.0,256,0,2.2,6,1920x1080,Intel Core,2.5,Intel HD
289,Acer,Aspire A517-51G,Notebook,15.6,Windows 10,951.0,256,0,3,8,1920x1080,Intel Core,1.8,Nvidia GeForce
290,Acer,SP315-51 (i7-7500U/12GB/1TB/FHD/W10),Notebook,15.6,Windows 10,659.0,0,1024.0,2.15,12,1920x1080,Intel Core,2.7,Intel HD
291,Lenovo,Thinkpad T570,Notebook,15.6,Windows 10,1097.0,256,0,1.95,8,1920x1080,Intel Core,2.7,Intel HD
292,Asus,VivoBook S15,Ultrabook,15.6,Windows 10,977.0,256,0,1.7,8,1920x1080,Intel Core,2.5,Nvidia GeForce
293,Lenovo,Legion Y520-15IKBN,Gaming,15.6,Windows 10,1179.0,256,1024.0,2.5,16,1920x1080,Intel Core,2.8,Nvidia GeForce
294,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,No OS,659.01,0,1024.0,2.2,8,1920x1080,Intel Core,2.7,Nvidia GeForce
295,Acer,Chromebook C910-C2ST,Notebook,15.6,Chrome OS,199.0,16,0,2.19,2,1366x768,Intel Celeron,1.5,Intel HD
296,Asus,FX753VD-GC071T (i7-7700HQ/8GB/1TB/GeForce,Gaming,17.3,Windows 10,1187.0,0,1024.0,3,8,1920x1080,Intel Core,2.8,Nvidia GeForce
297,HP,17-BS037cl (i3-6006U/8GB/1TB/W10),Notebook,17.3,Windows 10,489.0,0,1024.0,2.54,8,1600x900,Intel Core,2,Intel HD
298,Dell,XPS 15,Notebook,15.6,Windows 10,1829.0,256,0,2,8,1920x1080,Intel Core,2.8,Nvidia GeForce
299,Lenovo,V330-15IKB (i5-8250U/8GB/256GB/FHD/W10),Notebook,15.6,Windows 10,739.0,256,0,2.05,8,1920x1080,Intel Core,1.6,Intel UHD
300,Lenovo,Legion Y720-15IKB,Gaming,15.6,Windows 10,1299.0,0,1024.0,3.2,8,1920x1080,Intel Core,2.8,Nvidia GeForce
301,Acer,Aspire A715-71G,Notebook,15.6,Linux,979.0,256,0,2.5,8,1920x1080,Intel Core,2.8,Nvidia GeForce
302,Dell,Precision 7720,Workstation,17.3,Windows 10,2884.86,256,0,3.42,16,1920x1080,Intel Core,2.9,Nvidia Quadro
303,Lenovo,IdeaPad 310-15ABR,Notebook,15.6,Windows 10,499.0,0,1024.0,2.4,6,1920x1080,AMD A10-Series,2.4,AMD Radeon
304,Asus,ZenBook UX530UQ-PRO,Ultrabook,15.6,Windows 10,1468.0,512,0,1.63,16,1920x1080,Intel Core,2.7,Nvidia GeForce
305,Asus,VivoBook S14,Notebook,14.0,Windows 10,509.0,128,0,1.3,4,1366x768,Intel Core,2.4,Intel HD
306,Asus,Rog GL702VS-GC095T,Gaming,17.3,Windows 10,2122.0,256,1024.0,2.9,16,1920x1080,Intel Core,2.8,Nvidia GeForce
307,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,Windows 10,649.0,0,1024.0,2.8,6,1600x900,Intel Core,2.5,Nvidia GeForce
308,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,No OS,549.0,0,2048.0,2.2,8,1366x768,Intel Core,2.5,Nvidia GeForce
309,Asus,GL553VE-FY082T (i7-7700HQ/8GB/1TB,Gaming,15.6,Windows 10,1265.0,128,1024.0,2.5,8,1920x1080,Intel Core,2.8,Nvidia GeForce
310,Lenovo,IdeaPad 320-15IAP,Notebook,15.6,No OS,359.99,0,1024.0,2.2,4,1366x768,Intel Pentium,1.1,Intel HD
311,HP,EliteBook x360,2 in 1 Convertible,13.3,Windows 10,1975.0,256,0,1.28,16,1920x1080,Intel Core,2.8,Intel HD
312,Toshiba,Satellite Pro,Notebook,15.6,Windows 10,1043.0,256,0,2.2,8,1920x1080,Intel Core,2.5,Nvidia GeForce
313,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Windows 10,819.0,128,1024.0,2.3,8,1920x1080,Intel Core,2.5,Nvidia GeForce
314,HP,250 G6,Notebook,15.6,Windows 10,469.0,0,1024.0,1.86,4,1920x1080,Intel Core,2,Intel HD
315,Lenovo,IdeaPad 720S-13IKB,Notebook,13.3,Windows 10,999.0,256,0,1.1,8,1920x1080,Intel Core,2.5,Intel HD
316,Dell,XPS 13,Ultrabook,13.3,Windows 10,2499.0,1024.0,0,1.21,16,3840x2160,Intel Core,1.8,Intel UHD
317,MSI,GE63VR 7RF,Gaming,15.6,Windows 10,2099.0,256,1024.0,2.8,16,1920x1080,Intel Core,2.8,Nvidia GeForce
318,Acer,ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10),Notebook,15.6,Windows 10,469.0,256,0,2.23,8,1920x1080,AMD A8-Series,2.2,AMD Radeon
320,Dell,Inspiron 5570,Notebook,15.6,Windows 10,844.0,128,1024.0,2.33,8,1920x1080,Intel Core,1.6,AMD Radeon
321,HP,Spectre x360,2 in 1 Convertible,13.3,Windows 10,2449.0,1024.0,0,1.29,16,3840x2160,Intel Core,1.8,Intel UHD
323,HP,ProBook 640,Notebook,14.0,Windows 10,980.0,256,0,1.95,8,1920x1080,Intel Core,2.5,Intel HD
325,HP,Elitebook 840,Notebook,14.0,Windows 10,1292.0,256,0,1.48,8,1920x1080,Intel Core,2.7,Intel HD
326,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,Windows 10,589.0,0,1024.0,2.79,4,1600x900,Intel Core,2.5,Nvidia GeForce
327,Asus,ZenBook UX410UA-GV183T,Notebook,14.0,Windows 10,1094.0,256,0,2,8,1920x1080,Intel Core,2.7,Intel HD
329,HP,ProBook 450,Notebook,15.6,Windows 10,902.0,0,1024.0,2.1,8,1366x768,Intel Core,1.8,Intel UHD
330,Acer,Aspire 5,Notebook,15.6,Windows 10,659.0,256,0,2.2,8,1366x768,AMD A12-Series,2.7,AMD Radeon
332,Acer,Aspire E5-575,Notebook,15.6,Windows 10,549.0,0,1024.0,2.23,6,1366x768,Intel Core,2.5,Intel HD
333,Asus,VivoBook S15,Ultrabook,15.6,Windows 10,1049.9,256,0,1.7,8,1920x1080,Intel Core,2.7,Nvidia GeForce
334,HP,Elitebook 820,Ultrabook,12.5,Windows 10,1335.0,256,0,1.26,8,1920x1080,Intel Core,2.7,Intel HD
335,Dell,XPS 15,Notebook,15.6,Windows 10,2639.0,1024.0,0,2.06,32,3840x2160,Intel Core,2.8,Nvidia GeForce
336,MSI,GL72M 7REX,Gaming,17.3,Windows 10,1199.0,256,1024.0,2.7,8,1920x1080,Intel Core,2.8,Nvidia GeForce
337,Toshiba,Satellite Pro,Notebook,15.6,Windows 10,943.0,256,0,2.0,8,1920x1080,Intel Core,2.5,Intel HD
338,Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,Notebook,14.0,Windows 10,1334.0,256,1024.0,2,8,1920x1080,Intel Core,2.7,Intel HD
339,Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),Notebook,15.6,Windows 10,449.0,0,1024.0,1.85,4,1920x1080,Intel Core,2,Intel HD
340,Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Gaming,15.6,Windows 10,999.0,256,0,2.5,8,1920x1080,Intel Core,2.8,Nvidia GeForce
341,HP,EliteBook 840,Notebook,14.0,Windows 10,1268.0,256,0,1.48,8,1920x1080,Intel Core,2.6,Intel HD
342,Dell,Inspiron 7570,Ultrabook,15.6,Windows 10,1049.0,128,1024.0,1.9,8,1920x1080,Intel Core,1.6,Nvidia GeForce
343,HP,Elitebook 850,Notebook,15.6,Windows 10,1144.0,256,0,1.84,8,1920x1080,Intel Core,2.5,Intel HD
344,Asus,X541NA (N3350/4GB/1TB/Linux),Notebook,15.6,Linux,274.99,0,1024.0,2,4,1366x768,Intel Celeron,1.1,Intel HD
345,Dell,Inspiron 7570,Notebook,15.6,Windows 10,1142.75,256,0,2,8,1920x1080,Intel Core,1.6,Nvidia GeForce
346,Dell,Inspiron 3552,Notebook,15.6,Linux,274.9,0,500,2.2,4,1366x768,Intel Celeron,1.6,Intel HD
347,Lenovo,IdeaPad 320-15ABR,Notebook,15.6,Windows 10,899.0,0,2048.0,2.2,12,1920x1080,AMD A12-Series,3.6,AMD Radeon
348,HP,ProBook 450,Notebook,15.6,Windows 10,716.0,0,1024.0,2.1,8,1920x1080,Intel Core,2.4,Nvidia GeForce
349,Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,Windows 10,2099.0,512,0,1.4,16,3840x2160,Intel Core,1.8,Intel UHD
350,Dell,XPS 13,Ultrabook,13.3,Windows 10,1579.0,256,0,1.2,8,1920x1080,Intel Core,1.8,Intel UHD
351,Lenovo,Legion Y520-15IKBN,Gaming,15.6,Windows 10,1129.0,256,2048.0,2.4,16,1920x1080,Intel Core,2.8,Nvidia GeForce
353,Dell,Latitude 5590,Ultrabook,15.6,Windows 10,1607.96,512,256,1.88,16,1920x1080,Intel Core,1.9,Intel UHD
355,Dell,Inspiron 5570,Ultrabook,15.6,Windows 10,663.0,0,1024.0,1.9,8,1920x1080,Intel Core,1.6,AMD Radeon
356,Dell,XPS 15,Notebook,15.6,Windows 10,2027.42,512,0,2.06,16,3840x2160,Intel Core,2.8,Nvidia GeForce
357,HP,Elitebook 850,Notebook,15.6,Windows 10,1304.0,256,0,1.84,8,1920x1080,Intel Core,2.7,Intel HD
358,MSI,GP72MVR 7RFX,Gaming,17.3,Windows 10,1409.0,128,1024.0,2.7,8,1920x1080,Intel Core,2.8,Nvidia GeForce
359,HP,Zbook 15,Workstation,15.6,Windows 10,1738.27,256,0,2.6,8,1920x1080,Intel Core,2.8,Nvidia Quadro
360,Toshiba,Tecra A50-C-21G,Notebook,15.6,Windows 10,1403.0,512,0,2.4,16,1920x1080,Intel Core,2.5,Nvidia GeForce
361,Dell,Inspiron 5570,Notebook,15.6,Windows 10,970.9,128,2048.0,2.02,8,1920x1080,Intel Core,1.8,AMD Radeon
362,Lenovo,IdeaPad 320-15IAP,Notebook,15.6,No OS,321.99,0,1024.0,2.2,4,1366x768,Intel Celeron,1.1,Intel HD
363,Dell,Inspiron 7577,Gaming,15.6,Windows 10,999.0,0,1024.0,2.65,8,1920x1080,Intel Core,2.5,Nvidia GeForce
364,Dell,Inspiron 3567,Notebook,15.6,Windows 10,557.37,0,2048.0,2.36,8,1366x768,Intel Core,2.5,Intel HD
365,Dell,Latitude 7480,Notebook,14.0,Windows 10,1427.0,256,0,1.36,8,1920x1080,Intel Core,2.6,Intel HD
366,HP,250 G6,Notebook,15.6,Windows 10,439.0,0,500,1.86,4,1366x768,Intel Core,2,Intel HD
367,Asus,Zenbook UX410UA-GV027T,Notebook,14.0,Windows 10,945.0,256,0,2,8,1920x1080,Intel Core,2.5,Intel HD
368,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,Windows 10,719.0,128,1024.0,2.8,6,1600x900,Intel Core,2.5,Nvidia GeForce
369,HP,250 G6,Notebook,15.6,Windows 10,639.0,0,1024.0,1.86,8,1920x1080,Intel Core,2.5,Intel HD
370,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,No OS,499.0,256,0,2.2,8,1366x768,Intel Core,2,Nvidia GeForce
371,HP,15-AY023na (N3710/8GB/2TB/W10),Notebook,15.6,Windows 10,389.0,0,2048.0,2.04,8,1366x768,Intel Pentium,1.6,Intel HD
372,Dell,Inspiron 5770,Notebook,17.3,Windows 10,1085.0,128,1024.0,2.8,8,1920x1080,Intel Core,1.6,AMD Radeon
373,Lenovo,Legion Y520-15IKBN,Gaming,15.6,No OS,809.0,128,1024.0,2.4,8,1920x1080,Intel Core,2.5,Nvidia GeForce
374,Dell,Inspiron 5567,Notebook,15.6,Windows 10,899.0,256,0,2.33,8,1920x1080,Intel Core,2.7,AMD Radeon
375,HP,Elitebook 1040,Ultrabook,14.0,Windows 10,1750.0,256,0,1.36,8,1920x1080,Intel Core,2.7,Intel HD
376,Asus,ZenBook Flip,2 in 1 Convertible,15.6,Windows 10,1099.0,512,2048.0,2.26,12,1920x1080,Intel Core,2.7,Nvidia GeForce
377,Acer,Aspire 3,Notebook,15.6,Windows 10,426.0,128,0,2.1,4,1366x768,AMD A9-Series,3,AMD Radeon
378,Asus,Rog Strix,Gaming,17.3,Windows 10,2199.0,256,1024.0,3.25,16,1920x1080,AMD Ryzen,3,AMD Radeon
379,Lenovo,IdeaPad 110-17ACL,Notebook,17.3,Windows 10,489.0,128,0,2.6,4,1600x900,AMD A8-Series,2.2,AMD Radeon
380,Dell,Inspiron 5379,2 in 1 Convertible,13.3,Windows 10,869.01,256,0,1.62,8,1920x1080,Intel Core,1.8,Intel UHD
381,HP,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),Notebook,15.6,Windows 10,488.99,256,0,1.91,4,1920x1080,AMD A9-Series,3,AMD Radeon
382,Lenovo,Yoga 11e,Netbook,11.6,Windows 10,553.0,128,0,1.59,4,1366x768,Intel Celeron,1.1,Intel HD
383,Dell,Inspiron 3552,Notebook,15.6,Windows 10,309.0,0,500,1.8,4,1366x768,Intel Celeron,1.60,Intel HD
385,Acer,Aspire 7,Notebook,15.6,Linux,846.0,0,1024.0,2.4,8,1920x1080,Intel Core,2.8,Nvidia GeForce
386,HP,Omen 17-w212nv,Gaming,17.3,Windows 10,1191.0,128,1024.0,3.35,8,1920x1080,Intel Core,2.8,Nvidia GeForce
387,Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,Notebook,15.6,No OS,403.5,128,0,1.85,4,1920x1080,Intel Core,2,Intel HD
388,Asus,ROG Strix,Gaming,15.6,Windows 10,1655.0,128,1024.0,2.3,8,1920x1080,Intel Core,2.8,Nvidia GeForce
389,Lenovo,IdeaPad 720S-14IKB,Notebook,14.0,Windows 10,1099.0,256,0,1.5,8,1920x1080,Intel Core,2.5,Nvidia GeForce
390,Asus,Zenbook Flip,Ultrabook,13.3,Windows 10,1748.9,512,0,1.1,16,1920x1080,Intel Core,2.7,Intel HD
391,Lenovo,Thinkpad X1,Ultrabook,14.0,Windows 10,2282.0,512,0,1.13,8,2560x1440,Intel Core,2.7,Intel HD
392,Lenovo,Ideapad 510S-13IKB,Notebook,13.3,Windows 10,549.0,128,0,1.5,4,1920x1080,Intel Core,2.4,Intel HD
393,Dell,Precision 3510,Workstation,15.6,Windows 10,1369.0,0,500,2.23,8,1920x1080,Intel Core,2.6,AMD FirePro
394,Dell,Precision 5520,Workstation,15.6,Windows 10,2135.0,256,0,2,8,1920x1080,Intel Core,2.7,Nvidia Quadro
395,Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,Windows 10,2509.0,512,0,1.42,16,2560x1440,Intel Core,2.7,Intel HD
396,Asus,Rog GL753VD-GC042T,Gaming,17.3,Windows 10,1039.0,0,1024.0,3,8,1920x1080,Intel Core,2.8,Nvidia GeForce
397,Asus,Rog GL753VE-GC070T,Gaming,17.3,Windows 10,1591.0,256,1024.0,3,16,1920x1080,Intel Core,2.8,Nvidia GeForce
399,Acer,Aspire 5,Notebook,15.6,Windows 10,693.99,0,1024.0,2.2,12,1366x768,Intel Core,1.6,Nvidia GeForce
400,MSI,Leopard GP72M,Gaming,17.3,Windows 10,1349.0,256,0,2.7,8,1920x1080,Intel Core,2.8,Nvidia GeForce
401,Dell,Inspiron 5567,Notebook,15.6,Linux,778.87,256,0,2.33,8,1920x1080,Intel Core,2.7,AMD Radeon
402,HP,15-BW004nv (A9-9420/4GB/256GB/Radeon,Ultrabook,15.6,Windows 10,499.0,256,0,1.91,4,1920x1080,AMD A9-Series,3,AMD Radeon
